document,lineNum,numSegs,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20
urd-NG-102-174502-11516169-post120,1217,7,سمجھ ہی نہيں آتا کہ يہ کيا اور کيوں ہو رہا ہے؟,کيا قيامت کی يہی نشانياں ہيں؟,معصوم اور بيگناہ کس جرم ميں مارے جا رہے ھيں؟,وجوہات سبکے سامنے ہيں جو پاکستان کو ٹکڑے کرنا چاھتے ہيں وہی سرگرم ہيں اور جو يہ سب کرتے ہيں انکا نہ تو کوئی مذھب ہے اور نہ ملک۔,کراچی ہو يا ممبئی گھر کو آگ لگی ہے گھر کے چراغوں سے۔,جو حکومت آتی ھے وہ صرف جگہوں کے نام تبديل کر کے نام کمانے ميں لگ جاتے ہيں، جيسا کہ آجکل ائرپورٹ، روڈز، بلڈ نگز سب بينظیر۔,کيا بينظير کے يہی معنی ہيں جو کراچی اور پاکستان کےعوام کے ساتھ ہو رہا ہے؟,,,,,,,,,,,,,
urd-NG-102-174502-11516169-post8,1259,7,ہرعمل کا رد عمل تو ہوتا ہی ہے۔,اپنی ذات تک تو برداشت کيا جا سکتا ہےليکن۔,اعجاز اعوان,جناب اس سے پہلے کہ اپ بھی راتوں رات تجويز کندگان کا جم غفير جمع کر ليں، آپ کو بتاتا چلوں کہ حقيقی بدمعاشی کی کھلی نشانيان آپ کو آج کل کراچی کی ديواروں پر وال چاکنگ اور پوسٹروں کی صورت ميں بھی مل رہی ہيں۔,ہم دونوں طرح کی بدمعاشيان سہتے آ رہے ہيں۔,ويسے بدمعاشوں نے تو پاکستان اور بانی پاکستان کو بھی نہ بخشا، انہيں تو کسی ردعمل کا سامنا نہ کرنا پڑا۔,الٹا اسی پاکستان کے سينے پہ مونگ دل رہے ہیں۔,,,,,,,,,,,,,
urd-WL-86-174276-11370251-post1,1647,7,شاہد آفریدی جیسے آل راؤنڈر کرکٹر نے قائد اعظم ٹرافی میں پی آئی اے اور حبیب بینک میچ کے پہلے دن کھیل ختم ہونے کے بعد ان کی ایک تماشائی سے جھڑپ ہوگئی۔,یو بی ایل گراؤنڈ پر شاہد آفریدی میچ کھیلنے کے بعد جیسے ہی ڈرائنگ روم سے باہر آئے تو شائقین کی بڑی تعداد ان کے گرد جمع ہوگئی،,ایک موقع پر ایک تماشائی نے ہاتھ پکڑ کرکے اپنے ساتھ تصویر کھنچوانے کی درخواست کی جس پر شاہد آفریدی نے اسے ہٹاتے ہوئے کہا یہ تصویر کل لے لینا،تاہم تماشائی کے اصرار پر آفریدی نے تیش میں آکر اسے تھپڑ رسید کردیئے اس سے قبل کہ وہ آپس میں گتھم گتھا ہوتے وہاں موجود افراد نے معاملہ رفع دفع کرایا۔,جس کے بعد شاہد آفریدی نے کہا کہ اسے خوامخواہ ایشو بنایا جارہا ہے اس وقت مجھے نماز کی جلدی تھی،,بہرحال میں اس تماشائی سے معذرت کرلوں گا،,شاہد آفریدی کے اس رویہ پر آپ کیا کہیں گے۔,ہمیں اپنی رائے سے آگاہ کریں۔,,,,,,,,,,,,,
urd-NG-102-174502-11516103-post1,787,7,پاکستان کے صوبہ سرحد میں مقامی طالبان کی جانب سے تعلیمی اداروں کو نشانہ بنائے جانے کا سلسلہ جاری ہے۔,سب سے زیادہ سکول ضلع سوات میں تباہ کیے گئے ہیں جن میں سے زیادہ تر لڑکیوں کے ہیں۔,اتنا ہی نہیں طالبان نے سوات میں لڑکیوں کی تعلیم پر پابندی کا اعلان بھی کر دیا گیا ہے۔,ہزاروں طلباء و طالبات تعلیم کے حصول سے محروم ہو رہے ہیں۔,آپ کو کیا لگتا ہے کہ لڑکیوں کی تعلم ختم کر کے طالبان کیا حاصل کرنا چاہتے ہیں۔,حکومت اب تک ان غیر قانونی اقدامات کو روکنے میں ناکام کیوں رہی۔,آپ کے خیال میں حکومت کو کیا کرنا چاہئے۔,,,,,,,,,,,,,
urd-WL-77-174260-11358562-post11,1338,7,جنت نظیر سوات کو پاکستان کا سویٹزرلینڈ بھی کہا جاتا ہے۔,اب تک کی حکومتی حکمت عملی کے مطابق طاقت کے ساتھ ساتھ مزاکرات کئے جا رہے ہیں۔,لیکن طاقت کا استمال طالباں کی طاقت بڑھانے اور عوام میں ان کے لئے ہمدردی پیدا کرنے کے علاوہ کچھ فائدا نہیں دے رہا۔,ضرورت اس امر کی ہے کہ طاقت کے استمال کی جگہ حکومت اس مثلے کی وجوہات ختم کرے۔,وجوہات کے خاتمے سے فضل اللہ اور طالبان خود بہ خود ختم ہو جائیں گے۔,اے این پی حکومت کی جانب سے مجوزا شرعیت بل کا فی حد تک سوات کے مثائیل کے حل کا سبب بنے گا۔,مگر شریعت کے نفاظ کے ساتھ ساتھ حکومت کو معاشی مثائیل پر بھی توجہ دینا ہو گی,,,,,,,,,,,,,
BBC_URD_20090130.0002,355,7,اسرائیلی صدر،تُرک وزیراعظم میں تلخی,رجب طیب ارگان نے تقریباّ چیختے ہوئے اسرائیلی صدر سے کہا کہ غزہ میں بہت انسانوں کا خون بہایا گیا ہے اور انہیں یہ دیکھ کر افسوس ہوا کہ لوگ اسرائیلی کی جانب سے اس فوج کشی کے جواز پر تالیاں بھی بجا سکتے ہیں۔,مسٹر ارگان نے کہا: ’&quot;مجھے لگتا ہے کہ آپ شاید اپنا احساس جرم مٹانے کے لیے ایسے الفاظ استعمال کر رہے ہیں اور وہ بھی بلند آواز مگر آپ نے لوگوں کو ہلاک کیا اور میں ان بچوں کو یاد کر رہا ہوں جنہیں ساحل کے قریب مار دیا گیا۔,شیمون پیریز نے کہا کہ غزہ کا سانحہ اسرائیل نہیں، حماس ہے جس نے وہاں خطرناک ڈکٹیٹر شپ قائم کرلی ہے۔,ڈیوس سے بی بی سی کے ایک نامہ نگار کا کہنا ہے کہ عالمی اقتصادی فورم میں اس سے پہلے کبھی ایسا منظر دیکھنے میں نہیں آیا تھا۔,تاہم بعد میں اردگان نے کہا کہ وہ اسرایلی صدر کا احترام کرتے ہیں اور ان کی عمر کا بھی جس کی وجہ سے وہ ان پر چیخے نہیں مگر وہ جو کچھ کہہ رہے تھے وہ سچ سے کوسوں دور تھا۔,ترکی ان گنے چنے مسلمان ملکوں میں سے ہے جن کے اسرائیل سے سفارتی تعلقات ہیں لیکن گزشتہ چند سال سے ان میں کشیدگی پائی جاتی ہے۔,,,,,,,,,,,,,
MHR_URD_20090117.0008,544,7,اسامہ حمدان فلسطین میں مقاومت جاری رہے گی,مہر خبررساں ایجنسی کی رپورٹ کے مطابق لبنان میں حماس کے نمائندے اسامہ حمدان نے فرانسیسی خبررساں ایجنسی کے ساتھ گفتگو کرتے ہوئے کہا ہے کہ اسرائيل کی جانب سے یکطرفہ جنگ بندی بین الاقوامی جامع فائر بندی کی کوششوں کے خلاف ہے انھوں نے کہا جب تک اسراغيل غزہ میں موجود رہے گا اس وقت تک یک طرف جنگ بندی بے معنی رہے گی,انھوں نے کہا کہ یک طرف جنگ بندی شکست سے بچنے کے لئے اسرائیل کی ناکام کوشش ہے حمدان نے کہا کہ اگر اسرائیل پائدار امن چاہتا ہے کہ اسے محاصر ختم کرنے کے ساتھ حماس کے شرائط کو قبول کرنا پڑےگا,لبنان میں حماس کے رہنما نے واضح کیا کہ غزہ پٹی میں اسرائیلی فوج کے باقی رہتے ہوئے اگر اسرائیل نے یکطرفہ فائر بندی کی تو اس کے خلاف مزاحمت جاری رہے گی۔,بیروت میں اہل غزہ کے ساتھ یکجہتی کانفرنس سے خطاب کرتے ہوئے اسامہ حمدان نے یورپی ممالک سے اسرائیل کے ساتھ تعلقات منقطع کرلینے کامطالبہ کیا۔,حماس کے رہنما نے کہا کہ شہدا اور زخمیوں کی بڑھتی ہوئی ہوئی تعداد سے ہمارے عزائم اور حوصلے اور بلند ہوں گے۔,انہوں نے فلسطینی عوام پر سے کہا کہ وہ دشمن کے خلاف جنگ میں چٹان بن کر مزاحمت پرڈٹے رہیں۔,,,,,,,,,,,,,
urd-WL-86-174276-11370262-post1,1741,7,غیر ملکی خبر رساں ایجنسی کے مطابق عراق کے الوداعی دورے پر آئے امریکی صدر بش نے وزیر اعظم نور المالکی کے ہمراہ بغداد میں واقع ان کے دفتر میں پریس کانفرنس کے دوران اس وقت صورتحال مضحکہ خیز ہوگئی جب ایک عراقی صحافی نے صدر بش کو مخاطب کرتے ہوئے کہا”کتے یہ الوداعی بوسہ ہے“۔,اس کے بعد اس صحافی نے اپنا ایک جوتا اتارتے ہوئے بش کی جانب پھینکا ، صدر بش نے مہارت سے جوتا لگنے سے پہلے ہی اپنا سر جھکا دیا اور اپنے آپ کو بچالیا۔,دوسرا جوتا امریکی پرچم کو لگا۔,سیکیورٹی اہلکار اس صحافی کو گھسیٹتے ہوئے کو اس جگہ سے لے گئے۔,اس موقع پر صدر بش نے کہا کہ مجھے نہیں معلوم اس نے ایسا کیوں کیا، جوتا10نمبر کا تھا، مجھے کوئی پریشانی نہیں ہوئی۔,آپ کے خیال میں کیاصحافی کا یہ عمل عراقی عوام کی طرف سے صدر بش کے خلاف غصے کا اظہار نہیں تھا؟,اس واقعہ پر آپ کیا کہیں گے؟,,,,,,,,,,,,,
urd-NG-102-174502-11516107-post13,808,7,آداب!,سوال يہ کہ جنگ، مسلح تحريک، دہشتگردی مسائل کا حل ہے؟,اگر نہيں تو پھر وہ کونسا نسخہء کيميا ہےجو مسائل کےحل کی طرف لے جاتا ہے؟,يہ درست کہ جنگ، متشدد راستہ مسائل کو حل نہيں کرتا بلکہ ان ميں مزيد ’برکت‘ ڈالتا ہے۔,فلسطين، افغانستان، عراق کو اپنی تحريکوں کی کاميابی کيلیے اسی ماڈل کو اختيار کرنا چاہئيے جو جنوبی افريقہ ميں نيلسن منڈيلا نےاختيار کيا تھا۔,يعنی مسلح جدوجہد سے زيادہ اخلاقی وسياسی جدوجہد اور ’نفسي جہاد‘ کرنا۔,کشميريوں کا اليکشن ميں حصہ لينے سے نظر آتا ہے کہ انہوں نےاس نقطہء کو قبول کر ليا ہے۔,,,,,,,,,,,,,
urd-NG-102-174502-11516125-post27,923,7,ايسے تبصرے تو بی بی سی ڈھونڈ ڈھونڈ کر شائع کرتی ہے۔,آخر غيرجانبداری کا بھرم اور تاثر بھی تو قائم رکھنا ہے۔,ويسے بی بی سی کی خبريں درست ہی ہوتی ہيں ليکن اصل چيز خبروں کا انداز ہوتا ہے۔,کس چيز کو نماياں کرنا ہے اور کس خبر کی اہميت کم کرنی ہے۔,وغيرہ وغيرہ۔,ظہير چغتائی,اس ہنرميں اب ہمارا پاکستانی اليکٹرانک وپرنٹ ميڈيا، بالخصوص چنداردواخبارات اور کالم نگاروغيرہ بھی اب کسی سے پيچھے نہيں رہے جو يہاں بڑھتی ہوئی انتہاپسندی و دہشتگردی کی کوريج ميں يا اس پر لکھتے ہوئے’بغض معاويہ‘ميں خوب ڈنڈی مارتے ہيں,,,,,,,,,,,,,
