document,lineNum,numSegs,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20
urd-NG-102-174502-11516125-post1,907,11,اسرائیل کے جنگی طیاروں کی جانب سے غزہ پر بمباری اور میزائل حملوں کا سلسلہ ستائیس دسمبر سے جاری ہے۔,ان حملوں میں اب تک تین سو سے زائد فلسطینی باشندے ہلاک ہو چکے ہیں۔,فضائی حملوں کے بعد اب اسرائیلی ٹینک اور بکتر بند گاڑیاں بھی زمینی کارروائی کی مکمل تیاری کے ساتھ غزہ کی سرحد پر پہنچ چکی ہیں۔,اقوام متحدہ کی سلامتی کونسل نے ہنگامی اجلاس میں متفقہ قرارداد کے ذریعے اسرائیل اور فلسطینی اتھارٹی سے فوری طور پر پرتشدد کارروائیاں بند کرنے کا مطالبہ کیا ہے۔,تاہم اسرائیلی حکام کا کہنا ہے کہ وہ اس وقت تک غزہ کے اندر اپنی کارروائی جاری رکھیں گے جب تک انہیں یقین نہیں ہو جاتا کہ اسرائیل پر راکٹ حملے بند ہو جائیں گے۔,آپ کی رائے میں کیا اسرائیل کا یہ کہنا درست ہے کہ یہ کارروائی اسرائیلی سالمیت کے دفاع کی کوشش ہے؟,کیا اس صورتحال میں عالمی برادری اپنا کردار ادا کر رہی ہے؟,کیا اس جارحانہ کارروائی کا بلاواسطہ تعلق اسرائیل میں ہونے والے آئندہ انتخابات سے ہے؟,کیا امریکہ کے نومنتخب صدر باراک اوبامہ کے عہدہ سنبھالنے کے بعد مشرقِ وسطٰی حالات میں کسی بہتری کی توقع کی جا سکتی ہے؟,(ازراہِ کرم نوٹ فرمائیں کہ تبصروں کی تعداد بڑھ جانے کے سبب صرف اردو میں ٹائپ کی جانے والی آراء شائع کی جائیں گی۔,اس کے لیے آن سکرین کی بورڈ پر alt+shift دبا کر اردو سلیکٹ کریں),,,,,,,,,
urd-WL-84-174269-11325249-post1,1531,11,السلام علیکم ورحمۃ وبرکاتہ،,آج رات عشاء کی نماز کے بعد میں وآپس دکان کی طرف آرہاتھاکہ ایک آدمی نے جوکہ ایک گاڑی میں بیٹھاہواتھااس نے ہاتھـ اٹھایااورمجھے اپنی طرف متوجہ کیا۔,میں نے سوچاکہ شایدکے یہ آدمی راستہ بھول گیاہے یاکچھـ پوچھناچاہتاہے میں رک گیاتواسکی گاڑی میں اسکی پوری فیملی بیٹھی ہوئی تھی۔,اس نے اپنامدعابیان کیاکہ میں عربی اچھی طرف سمجھـ سکتاہوں کہ نہیں میں نے کہاکہ کوئی مسئلہ نہیں ہےآپ بتاؤکہ کیابات ہے؟,اس نے کہناشروع کیاکہ میں ریاض سے آیاہوں یہاں مدینہ میں لیکن کسی نے میری جیب کاٹ لی ہے آپ براہ مہربانی کوئی مدد کریں میں نے کہا کہ معاف کرو بھائی، کیونکہ ایساہی ایک واقع میرے ساتھـ پہلے ہوچکاہے کہ میں نے اس بندہ کوبیس ریال دئیے کہ اس سے پٹرول بھرا کرریاض چلے جاؤ لیکن اس نے تھوڑا ساآگے جاکرپھروہی کام شروع کردیا۔,مجھے بڑا غصہ آیامیں نے اس کو بہت بولااورسپاہی کی دھمکی دی تووہ نودوگیارہ ہوگیا۔,تواب یہ حالت ہوگئی ہے ہم مسلمانوں کی مانگنے کے لئے بھی گاڑیوں پرسوارہوکرساتھـ فیملی کے ساتھـ آتے ہیں اوردن بھرمیں کم ازکم دوتین ہزارکی دھاڑی لگاتے ہیں۔,جبکہ واضح حدیث (صلی اللہ علیہ والہ وسلم) ہاتھـ کے نیچے والے سے اوپروالاہاتھـ بہترہے نیچے والاہاتھـ مانگنے والااوراوپروالاہاتھـ دینے والاہے۔,اللہ تعالی ہم پراپناکرم کرے اورہم کوسچامسلمان بنائے (آمین ثم آمین),والسلام,جاویداقبال,,,,,,,,,
urd-WL-86-174276-11370263-post1,1748,11,ممبئی میں ہونے والی دہشت گردی کے واقعات کے بعد پاکستان اور بھارت کے تعلقات میں پیدا ہونے والی کشیدگی اس وقت سنگین صورتحال اختیار کرگئی جب بھارتی فضائیہ کے جنگی طیاروں نے لاہور اور کشمیر سیکٹرز میں پاکستان کی فضائی حدود کی خلاف ورزی کی۔,پاک فضائیہ کی جوابی کارروائی کے باعث بھارتی طیارے واپس جانے پر مجبور ہوگئے۔,ذرائع کے مطابق دونوں بھارتی طیارے اسلحہ اور گولہ بارود سے لیس تھے۔,موجودہ کشیدہ حالات میں یہ اپنی نوعیت کا پہلا واقعہ ہے۔,پاک فضائیہ کا کہنا ہے کہ فضائیہ ملک کا دفاع کرنے کیلئے پوری طرح تیار ہے۔,وزیر اطلاعات شیری رحمن کا کہنا ہے کہ بھارتی حکام نے تسلیم کیا ہے کہ فضائی حدود کی خلاف ورزی ہوئی، تاہم ایسا غلطی سے ہوا۔,پاکستان کے عسکری ذرائع نے اس واقعہ کو سنگین قرار دیا ہے۔,آپ کے خیال میں کیا واقعی بھارت پاکستان پر فضائی حملے کا ارادہ رکھتا ہے؟,کیا بھارت کا یہ موقف درست ہے کہ یہ خلاف ورزی غلطی سے ہوئی یا اس کا مقصد پاک فضائیہ کی صلاحیت کا اندازہ لگاناتھا؟,یہ واقعہ دونوں ملکوں کے درمیان کشیدگی میں مزید اضافے کا سبب نہیں بنے گا؟,اپنی رائے سے آگاہ کریں۔,,,,,,,,,
urd-WL-83-174268-11364087-post8,1477,11,مجھے شائد عقل میں کچھ حصہ کم ہی ملا۔,بچپن سے کوئ بڑا جو بھی بات کہتا میرے لیے سچ ہی ہوتی۔,اسی طرح جیسے مجہے یقین تھا اباجان کو دنیا کے ہر سوال کا جواب معلوم ہے۔,میرا اس پر بہت مذاق بھی اڑتا۔,مگر صرف وہ بات سچ لگتی جو ممکن بھی ھوسکتی تھی۔,بہت الجھن ہوتی کہ جھوٹ بولنے کی کیا ضرورت تھی۔,اس عمر میں بھی اس بات سے نقصان اٹھایا۔,لہٰذا میری کوشش ہوتی ہے جھوٹ کم سے کم بولوں۔,کسی کو جھوٹا لارا مت لگاؤں اور وہ بھی اللہ کا نام ساتھ لگا کر۔,اور انشاءاللہ تبھی کہوں جب اللہ سے دعا ہو کہ کام پورا کر دے۔,باقی نیتوں کا حال تو اللہ ہی بہتر جانتا ہے۔,,,,,,,,,
urd-WL-72-174253-11359779-post1,1307,11,مشرقی پاکستان کو ہم سے الگ ہوئے سینتیس سال ہو گئے اور ہمارے عوام اور حکمرانوں کی بے حسی کی انتہا دیکھیں کہ کسی نے اس دن نہ سوگ منایا اور نہ اپنی غلطیوں پر ماتم کیا۔,ہونا تو یہ چاہیے تھا کہ ہم سولہ دسمبر والے دن کو عبرت کے طور پر مناتے اور اس طرح کی تدابیر کرتے کہ ایسا حادثہ دوبارہ وقوع پذیر نہ ہو۔,اس دن ہم بنگلہ دیش کے لوگوں کو خیرسگالی کے پیغامات بھیجتے اور انہیں دوبارھ اپنےقریب لانے کی کوشش کرتے۔,حکمران حمودالرحمن کمیشن کی فائل کو کھولتے اور اس میں مشرقی پاکستان کی علیحدگی کی وجوہات پر غور کرتے۔,بنگلہ دیش میں پھنسے ہوئے بہاریوں کو واپس لانے کی تدبیر کرتے اور ان کی حوصلہ افزائی کیلیے انہیں تحائف بھیجتے۔,لیکن ہم بے حس ہو چکے ہیں ہمارے پڑوس میں کوئی مر جائے ہمیں اس کی اب اطلاع نہیں ہوتی۔,ہمیں اپنے بہن بھائیوں کی فکر نہیں رہی کیونکہ ہم خودغرض ہو چکے ہیں۔,بڑے سے بڑا سانحہ گزر جائے ہم اگلے دن پھر اپنے معمولات زندگی میں کھو جاتے ہیں۔,کاش جس طرح مشرقی اور مغربی جرمنی دوبارہ ایک ہو گئے اسی طرح مشرقی اور مغربی پاکستان بھی دوبارہ ایک ہو سکتے۔,ہم دوبارہ ایک ہو سکتے ہیں اگر دونوں ایک دوسرے کیلیے قربانی ديں اور خودغرضی کے خول سے باہر نکل آئیں۔,لیکن یہ خواہش مستقبل قریب میں پوری ہوتی نظر نہیں آتی۔,,,,,,,,,
urd-WL-86-174276-11370255-post1,1695,11,نئے سال کا آغازہوگیاہے۔,گذشتہ سال ہنگامہ خیزیوں اور سیاسی نشیب و فراز کا سال تھا ، دہشت گردی کے حوالے سے بھی اسے یاد رکھا جائے گا۔,صدر مشرف کی اقتدار سے علیحدگی اور صدر بش کے آٹھ سالہ دور کا خاتمہ ، بش پر جوتوں کی بارش اور پاکستان میں جمہوری حکومت کا قیام، ناگہانی آفات ، بلوچستان میں زلزلہ، دنیا بھر میں مالیاتی بحران، کساد بازاری۔,اب نئے سال کی آمد ہے آپ آنے والے سال کو کس طرح دیکھتے ہیں؟,آپ کے نزدیک سیاسی یا جغرافیائی صورتحال کیا رنگ لائے گی اوبامہ کی حکمت عملی کیا ہوگی؟,کیا دہشت گردی کے خاتمے میں کسی پیش رفت کی امید ہے؟,کیا پاکستان میں عدالتی بحران ختم ہوجائے گا؟,پاک بھارت تعلقات کیا رخ اختیار کریں گے؟,سرجیکل اسٹرائک یا بھرپور جنگ کا امکان ہے؟,نئے سال سے آپ کو کیا توقعات وابستہ ہیں؟,اپنی رائے سے آگاہ کریں۔,,,,,,,,,
urd-WL-83-174268-11364077-post1,1448,11,ہم سواتی طالبانی ٹولہ کو مفت میں غیر مہذب سمجھتے رہے، جو صرف خواتین کی تعلیم پر نالاں تھے۔,اس ناراضگی کو ہر روز کہیں نہ کہیں خواتین کے سکول اور کالج منہدم کر کے اُن کا اظہار کر رہے تھے۔,لیکن اکثر خیالات کی طرح یہ خیال بھی درست ثابت نہیں ہوا، سی این این کی اِس خبر کے مطابق آج بروز پیر کے با برکت دن طالبانی ٹولہ نے لڑکوں کے ایک اسکول کو بارود سے منہدم کر دیا۔,سوات، طالبان نے لڑکوں کا اسکول منہدم کر دیا,لڑکیوں کے اسکول تو اصل میں مشہور انگریزی مقولہ “لیڈیز فرسٹ” پر عمل کرتے ہوئے پہلے منہدم کئے گئے تھے، پتہ نہیں اب بھی لوگ طالبان کو غیر مہذب اور تہذیب سے عاری وحشی کہنے پر کیوں تُلے ہیں؟,اس سے ایک اور بات بھی واضح ہوتی ہے کہ طالبانی ٹولہ پر لگا یہ الزام کہ وہ صرف لڑکیوں کی تعلیم کے خلاف ہیں، درست نہیں۔,بلکہ ماشاللہ وہ تو تعلیم کے ہی خلاف ہیں۔,اللہ پاک ان مجاہدین کو اور طاقت دے، اور طاغوتی حکومت,جو ہم پر مسلط ہے ، اسے جڑ سے اکھاڑنے میں اِن کی مدد فرمائے۔,آمین ثم آمین۔,ماشاللہ اب تک ایک سو بیاسی اسکول منہدم کئے جا چکے ہیں۔,,,,,,,,,
urd-NG-102-174502-11516135-post35,969,11,سب سے پہلے تو بھانا صاحب اور فورم کےتمام مسيحی دوستوں کو کرسمس کی مبارک۔,فورم کےساتھيوں: سائيکو صاحب، اے رضا، بہن ثنا، بہن شاہدہ اکرم اور سب کو آداب۔,ہم سب جنگ کے شعلے نہيں بلکہ امن کے پھول چاہتے ہيں!,جنگ تو خود ہی ايک مسئلہ ہے,جنگ کيا مسئلوں کا حل دے گی,آگ اور خون آج بخشے گی,بھوک اور احتياج کل دے گی,اس ليے باشعور انسانوں,جنگ ٹلتی رہے تو بہتر ہے,آپ کے اور ہمارے آنگن ميں,شمع جلتی رہے تو بہتر ہے,,,,,,,,,
BBC_URD_20090120.0027,251,11,ایڈیشنل پولیٹیکل ایجنٹ رہا,ایڈیشنل پولیٹکل ایجنٹ کو دس دن پہلے جنوبی وزیرستان سے نامعلوم نقاب پوشوں نےاغوا کرلیاتھا۔,ذرائع کا کہنا ہے کہ اہلکار کو ملا نذیر گروپ کے مقامی طالبان نے اغواء کیا تھا۔,مقامی انتظامیہ کے مطابق منگل کو شام چار بجے کے قریب جنوبی وزیرستان کے ایڈیشنل پولیٹکل ایجنٹ عامر لطیف کو ایک قبائلی جرگے نے وانا سکاؤٹس کیمپ پہنچایا۔,تاہم انہوں نے یہ نہیں بتایا کہ ایڈیشنل پولیٹکل ایجنٹ کو کس نے اغواء کیا تھا۔,البتہ مقامی لوگوں کا کہنا ہے کہ پولیٹکل ایجنٹ کو ملا نذیر گروپ کے مقامی طالبان نے اغواء کیا تھا۔,عامر لطیف کو اس وقت اغوا کرلیا گیا تھا جب وہ وانا سے ٹانک جا رہے تھے۔,گیارہ جنوری دو ہزار نو کو جنوبی وزیرستان کے قبائلی علاقے کارکنڑہ میں سات مسلح نقاب پوشوں نے ایڈیشنل پولیٹکل ایجنٹ عامر لطیف کو ڈرائیور سمیت اغواء کیاتھا۔,سرکاری اہلکار کے مطابق اغواء کاروں نے پہلے گاڑی میں موجود محافظوں کو غیر مسلح کیا تھا اور اس کے بعد ایڈیشنل پولیٹکل ایجنٹ کو ایک گاڑی میں بٹھا کر وہاں سے لے گئے تھے۔,مقامی انتظامیہ کے مطابق ایڈیشنل پولیٹکل ایجنٹ کے اغوا کے بعد سکیورٹی فورسز نے جنوبی وزیرستان اور نیم قبائلی علاقوں میں تمام چیک پوسٹوں کی ناکہ بندی کر دی تھی اور آنے جانے والوں کی سخت تلاشی لی جا رہی تھی اور گزشتہ ایک ہفتے سے حکام نے وانا پر اقتصادی پابندی بھی لگادی تھی۔,آٹھ دسمبر دو ہزار اٹھ کو شمالی وزیرستان کے اسسٹینٹ پولیٹکل ایجنٹ عصمت اللہ کو بھی اس وقت اغوا کرلیا گیا تھا جب وہ عید کی چھٹیاں منانے کے لیے میرعلی سے بنوں جا رہے تھے۔ اور اس کے چند دن بعد شمالی وزیرستان میں تحصیلدار امان اللہ سمیت دو افراد کو نامعلوم نقاب پوشوں نے ہلاک کر دیا تھا۔,,,,,,,,,
VOA_URD_20090131.0013,754,11,پاکستان کے ساتھ فوری جنگ کے امکانات نہیں: بھارتی فوجی سربراہ,بھارتی بری فوج کے سربراہ جنرل دیپک کپور کا کہنا ہے کہ پاکستان کے ساتھ فوری جنگ کے امکانات موجود نھیں، تاہم ملک کا دفاع کرنے اور اُس کے مفادات کے تحفظ کو یقینی بنانے کے لیے قربانیاں دینے کے لیے ہمہ وقت تیار ہیں۔,جنرل کپور نے الزام لگایا کہ یقین دہانیوں اور ممبئی حملوں کے نتیجے میں پاکستان پر بین الاقوامی دباؤ کے باوجود ، اُن کے الفاظ میں، پاکستان کی سرزمین پر دہشت گردی کا ڈھانچہ نہ صرف جوں کا توں موجود ہے بلکہ سرگرم ہے۔,اُنھوں نے یہ بات سری نگر میں نامہ نگاروں سے گفتگو میں کی۔,بھارتی بری فوج کے سربراہ نئی دہلی کے زیرِ انتظام کشمیر کی مجموعی حفاظتی صورتِ حال اور سرحدوں پر مسلح افواج کی تیاریوں کا جائزہ لینے کے لیے وادیِ کشمیر کے ایک روزہ دورے پر تھے۔,اُن سے سوال پوچھا گیا کہ میڈیا رپورٹوں کے مطابق ممبئی حملوں کے بارے میں پاکستان نے بھارت کی طرف سے پیش کردہ ثبوتوں کو مسترد کردیا ہے، اِس بارے میں اُن کا کیا تبصرہ ہے۔,جنرل کپور نے کہا کہ جنگ یا امن کے معاملات کے فیصلے سیاسی قیادت کیا کرتی ہے۔,مبینہ طور پر پاکستان کی سرزمین پر دہشت گردی کے ڈھانچے کی موجودگی کا ذکر کرتے ہوئے، اُنھوں نے کہا کہ بھارتی فوج کا ایسے عناصر کے ساتھ مقابلہ ہوگا جو امن درہم برہم کرنے اور بھارت کو کمزور کرنے پر تُلے ہوئے ہیں۔,اُنھوں نے کہا کہ بھارتی کشمیر کی سرزمین پر سات سے آٹھ سو تک جنگجو موجود ہیں جِن میں سے تقریباً پچاس فی صد غیر ملکی ہیں۔,جنرل دیپک کپور نے کہا کہ موسم میں بہتری کے ساتھ ہی پاکستان اور اُس کے زیرِ انتظام کشمیر سے دراندازی کی کوششوں میں ا ضافہ ہو سکتا ہے،تاہم بھارت نے سرحدوں پر چوکسی بڑھا دی ہے۔,اُنھوں نے بھارتی زیرِ انتظام کشمیر میں تعینات فوج کی تعداد میں تخفیف کے امکانات کویہ کہہ کر رد کر دیا کہ ملک کی سلامتی کے ساتھ سمجھوتا نہیں کیا جا سکتا۔,,,,,,,,,
