document,lineNum,numSegs,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20
urd-WL-77-174260-11358605-post8,1394,6,پتہ نہيں يہ کہانی کس نے لکھی کيسے وجود ميں آئی ليکن ايک بات ضرور ہے ہر زمانے ميں ڈريکولا معصوم انسانوں کا خون پيتے رہے ہيں،,ہر زمانے ميں جنگيں ہوتی رہی ہيں اور ہر زمانے ميں خون بہتا رہا ہے۔,ليکن حيرت کی بات يہ ہے کہ اکيسويں صدی کا يہ انسان جو اپنے آپ کو بہت مہذب مانتا ہے کيسے دن دہاڑے اور سر عام ہونے والے اس قتل عام پر خاموش ہے،,کيسے يہ اس بات کو محسوس نہيں کرتا کہ جو کچھ ہورہا ہے وہ انسانيت کی ايک بد ترين شکل پيش کررہا ہے۔,افسوس ناک اور المناک پہلو تو يہ ہے کہ تہذيب يافتہ انسان کا يہ سياہ پہلو آنے والی صدی کے ايک اور انسان کے سامنے کيا تصوير پيش کرے گا۔,خير انديش، سجادالحسنين، حيدرآباد دکن,,,,,,,,,,,,,,
urd-NG-102-174502-11516154-post33,1073,6,اس خطہ ميں صلاحيتيں تو بہت ہيں۔,خدا جانے کب عقل آئے گی اور اتفاق کی برکت سے يہ خطہ ترقی کرے۔,دونوں ملکوں ميں ملا، پنڈت، طالبان، شيو سينا، آر ايس ايس وغيرہ تو امن کے مخالف تيار کیے گئے ہيں ہي۔,اور دجالی قوتيں نہيں چاہتی کہ يہ خطہ امن کے ساتھ ترقی کرے چنانچہ ان ملکوں کو پتلی ناچ نچايا جا رہا ہے۔,کيا آپ تصور کر سکتے ہيں کہ اتفاق کے ساتھ اس علاقہ پاکستان بھارت اور چین کا دنيا ميں کيا مقام ہوگا۔,پاکستان پر تو خدا کا عذاب ہے جو چوروں ڈاکوؤں اور رسہ گيروں کو بصورت ليڈر قوم پر مسلط کر ديا ہے۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516146-post137,988,6,اس بات پر تو کوئی دو رائے نہیں کہ یہ ایک بہت ہی بہیمانہ فعل ہے۔,لیکن سوال یہ ہے کہ جب ہزاروں طالبان پیر سمیع اللہ کے گاوں پر حملہ آور ہوئے تھے تو پاکستانی فوج کہاں تھی اور کیا کر رہی تھی؟,کیا فوج کا احتساب نہیں ہونا چاہیے کہ ایک سال میں انہوں نے وہاں کیا کیا؟,ہر روز جو ہزاروں کی تعداد میں وہ مارٹر اور توپ کے گولے برساتے ہیں ان سے کتنے طالبان مارے جاتے ہیں؟,میں آئی ایس آئی سے اپیل کرتا ہوں کہ خدارا طالبان کی سرپرستی چھوڑ دیں اور ہمیں جنت نظیر سوات میں امن سے رہنے دیں۔,اور یہ جعلی آپریشن بند کردیں۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516103-post18,781,6,پاکستان بننے کے بعد بھی کافی عرصہ تک سوات کا تمام انتظام والی سوات کے ذمہ تھا جن کی باقاعدہ ايک فوج اور قانون تھا۔,انہوں نے ايک معاہدے کے تحت سوات کا انتظام حکومت پاکسان کے سپرد کيا,مگر افسوس کہ ہماری حکومتوں نے سوات کے ساتھ سوتيلی ماں جيسا سلوک کيا۔,سوات ميں والی سوات کی حکومت کے خاتمے کے بعد سکولوں کی تعداد ميں بالکل بھی اضافہ نہيں ہوا,اور نہ ہی وہاں کی تعمير و ترقی ميں دلچسپی لی گئی۔,موجودہ دور ميں جو لڑکياں تعليم حاصل کررہی تھيں ان کی تعداد سابقہ دور سے کئی گنا کم ہے۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516146-post58,1017,6,حيرت ہوتی ہے جب يہ کہا جاتا ہے کہ يہ کام کسی مسلمان کا نہيں ہو سکتا۔,ہم خود اپنی ہی تاريخ سے نابلد ہيں يا مصلحتاً چشم پوشی کر جاتے ہيں۔,وصال پيغمبر کے بعد انکار بيعت پر دخترِ رسول کا بند دروازہ کس نے نظر آتش کيا اور ان کے شوہر کو گلے ميں رسی ڈال کون گھسيٹ لے چلا تھا؟,کيا وہ کہيں باہر سے آئے تھے؟,مدينہ پر فوج يزيد کي يلغار اور سانحۂ کربلا کيا ہنود و يہود کا کيا دھرا تھا؟,حقائق تسليم کیے بغير محرکات دور ہوئے ہيں نہ ہي سدباب ہوا ہے۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516165-post13,1156,6,صلاحیت رکھنا يا نہ رکھنا يا يہ کہنا کہ نہيں چاہتا۔,ہم يعنی پاکستانی کس کی جنگ لڑ رہے ہيں۔,اور کيوں ہمارے بھی مفادات ہيں جنہيں جن کو ہم پوری کوشش کر کے بچائبگے۔,کسی کو کسی ملکی معاملات ميں مداخلت کرنے کا اختيار نہيں ہے۔,نوآباديات کا دور بظاہر نظرنہيں آتا۔,اگر لوگوں کو انصاف کی توقع ہو يا اتحادی آزاد عدليہ کے نفاذ پر زور ديں جمہوري اداروں کا احترام کريں اور کسی آمر يا فوجی کی مدد نہ کريں تو تيسری دنيا بشمول پاکستان ميں امن قائم ہوگا اور جو اتحاديوں کو شاید قبول نہیں ہے۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516161-post150,1097,6,پاکستان ميں موجود دہشتگر تنظيميں جنہوں نے جہاد کے نام پر پيشہ وارانہ جرائم پيشہ لوگ پال رکھے ہيں يہ اور ان ملاوؤں کے ’بڑے‘ وہی ہيں جو پاکستان کو پليدستان اور جانے کيا کيا کہتے رہے ہيں۔,اب يہ پاکستان کو تباہ کرنے ميں کوئی کسر نہيں چھوڑ رہے۔,اصل ميں يہ مسلمان تو کيا انسان کہلوانے کے حقدار نہيں۔,پاکستان کو ان شرپسندوں سے پاک کیے بغير ملکی سلامتی خطرہ ميں رہےگي۔,کيا اب بھی يہ سوچنے کی گنجائش ہے کہ ان مفسدوں پر پابندی لگائی جائے کہ نہ؟,متشدد ملاوؤں کی اس دنيا ميں کہيں جگہ نہيں جنکا کام ہی قتل کرانا ہے۔,,,,,,,,,,,,,,
urd-NG-102-174502-11516146-post144,998,6,پير سميع اللہ کی شخصيت اور کارناموں سے ہميں واقفيت اور معلومات نہيں کہ اس کی سرگرمياں کيا تھيں۔,شايد وہ کوئی انقلابی نہيں تھے۔,جس طرح کامريڈ چے گويرا، نواب اکبرخان بگٹی، ڈاکٹر نجيب اللہ اور ہزاروں انقلابيوں کی لاشوں کی بےحرمتی دشمن کے ہاتھوں ہوئی ہے۔,وہ تو مر کر بھی امر ہوتے ہيں۔,ليکن يہاں تو ايک بين الاقوامی گيم کھيلا جارہا ہے، يہاں وحشت اور درندگی سے عوام کو خوفزدہ کر کے حکمرانی کی جا رہی ہے۔,تاکہ جواز پيدا کيا جا سکے کہ اگر ہم نہ ہونگے تو ايسے وحشی اور درندے آکر حکومت پر قبضہ کرينگے۔,,,,,,,,,,,,,,
urd-WL-77-174260-11358562-post19,1345,6,جنرل مشرف کے شروع کےاقدامات سے يہ لگا تھا کہ شايد اس قوم کونا اھل سياست دانوں سے نجات ملے گی ليکن اقتدار کے حوس نے ان کے سارے ارادے بدل ديے,جو بھی اميديں تھيں وہ &amp;quot;وار اف ٹيرر&amp;quot;ميں شموليت سےوہ اپنےاپ کو حقيقت ميں لازوال سمجھنے لگے,اور جن اقدامات کی توقع تھی وہ ختم ہوگيی۔,جيسےہی بش کےدور کا خاتمہ ہونےلگا تو ان کواپنے اقتدار کے خاتمے کی فکر ہونے لگی اور بوکلاہٹ ميں چوروں سے ڈيل کر دی۔,جنرل مشرف پھر بھی فوج کو کنٹرول کر سکتے تھے ليکن موجودہ حکومت کو پتہ ہی نہيں کہ کيا ہورہا ہے۔,باجوڑ ہو يا سوات فوج ٹيرر کو کنٹرول نہيں کرتی اور بمباری &amp;quot;دشمن&amp;quot;يعنی عوام پر کرتی ہے جانی &#39;مالی نقصان کے ساتھ ساتھ &#39;دشمن&#39;کو ذہنی مريض بنا دیے تو دشمن ہم ہی ہوے نہ,,,,,,,,,,,,,,
urd-WL-86-174276-11370264-post1,1759,6,شہید محترمہ بے نظیر بھٹوکو بعد از مرگ انسانی حقوق کا عالمی ایوارڈ دیا گیا جسے ان کے بیٹے اور پیپلز پارٹی کے چیئر مین بلاول بھٹو زرداری نے وصول کیا۔,اقوام متحدہ کے صدر دفتر میں جنرل اسمبلی کے اجلاس کے دوران ایک تقریب میں پاکستان کی سابق وزیراعظم شہیدبے نظیر بھٹو کو ان کے انسانی حقوق کیلئے ان کی خدمات کے اعتراف میں اس ایوارڈ سے نواز گیا۔,اقوام متحدہ کی طرف سے انسانی حقوق کی قرارداد کی ساٹھویں سالگرہ 10/دسمبر کو منائی گئی۔,اس موقع پر انسانی حقوق کے لیے کام کرنے کے اعتراف میں جن شخصیات اور اداروں کو یہ اعزازات دیئے جارہے ہیں ان میں بینظیر بھٹو کے علاوہ امریکا کے سابق اٹارنی جنرل لوئیس رمزے کلارک اور دنیا بھر میں انسانی حقوق کیلئے کام کرنے والی عالمی تنظیم ہیومن رائٹس واچ شامل ہیں۔,اس موقع پراقوام متحدہ میں پاکستان کے سفیر عبداللہ حسین ہارون اور دوسرے پاکستانی سینئر سفارتی اہلکاروں بھی موجود تھے۔,سابق وزیر اعظم محترمہ بینظیر بھٹو شہید کو یہ ایوارڈ ملنے پر آپ کیا کہیں گے۔,,,,,,,,,,,,,,
