document,lineNum,numSegs,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20
BBC_URD_20090125.0005,293,10,ڈیرہ بگتی:گیس پائپ لائن پر دھماکہ,پولیس حکام کے مطابق لوٹی گیس فیلڈ سے پیر کوہ جانے والی اٹھارہ انچ قطر کی پائپ لائن کو دھماکہ سے اڑایا گیا ہے۔,یہ پائپ لائن سوئی پلانٹ کی سمت جاتی ہے۔,دریں اثناء اپنے آپ کو کالعدم تنظیم بلوچ ریپبلکن آرمی کا ترجمان ظاہر کرنے والے سرباز بلوچ نامی شخص نے ٹیلیفون پراپنی تنظیم کی جانب سے اس حملے کی ذمہ داری قبول کی ہے۔,چارروز میں چوتھی گیس پائپ لائن کو دھماکے سے اڑایا گیا ہے۔,جمعہ کے روز ڈیرہ اللہ یار میں ایک اٹھارہ انچ قطر کی پائپ لائن کو تباہ کر دیا گیا تھا جس کی مرمت کا کام اتوار کی صبح تک جاری تھا۔,کوئٹہ میں سوئی سدرن گیس کمپنی کے جنرل مینیجر مشتاق صدیقی نے بتایا ہے کہ اس پائپ لائن سے گیس کی ترسیل دوپہر کے بعد شروع کر دی جائے گی۔,یہ پائپ لائن سبی کے راستے کوئٹہ آتی ہے۔,کوئٹہ زیارت اور دیگر مصافاتی علاقوں میں تین روز سے گیس کی شدید قلت ہے جہاں ایک طرف برف باری کا سلسلہ جاری ہے اور درجہ حرارت نقطہ انجماد سے نیچے گر گیا ہے اور دوسری طرف ہیٹر اور چولہے ٹھنڈے پڑ گئے ہیں۔,اس کے علاوہ ڈیرہ بگٹی شہر میں مال منڈی میں موٹر سائیکل میں دھماکہ ہوا ہے لیکن پولیس کے مطابق اس دھماکے سے کسی قسم کا جانی نقصان نہیں ہوا ہے۔,,,,,,,,,,
urd-WL-72-174253-11359785-post1,1318,10,آج جب خبروں میں بتایا گیا کہ امریکی ریاست الی نوائے کا گورنر کرپشن چارجز میں گرفتار کر لیا گیا,اور اسے گورنری سے ہٹانے کیلیے صوبائی کانگریس جلد سے جلد اس کا محاسبہ کرنے کی تیاری کرنے لگ Edit ی ہے تو ہمارے ایک امریکی گورے ساتھی جن کی پاکستان کے حالات پر گہری نظر ہوتی ہے نے ہمیں شیخی بگھارتے ہوئے لکارا کہ دیکھو جمہوریت اسے کہتے ہیں۔,امریکہ میں بڑے سے بڑا آدمی بھی قانون سے ماورا نہیں ہے,اور ایک تمہارا ملک پاکستان ہے جس کا صدر بھی کرپشن چارجز ڈراپ کرانے کے بعد بنا ہے۔,ہماری رگ ظرافت پھڑکی اور ہم نے کہا اگر مریکہ میں ایک گورنر گرفتار ہوا ہے تو کیا ہوا، ہمارے پاکستان میں تو راتوں رات وزیراعظم کو گرفتار کر کے ایک بار پھانسی چڑھایا گیا اور دوسری بار ملک بدر کیا گیا۔,بتاؤ کبھی امریکہ میں ایسا ہوا؟,پاکستان نے تو ملک کا قانون توڑنے والے کو گارڈ آف آنر کیساتھ صدارتی ایوان سے رخصت کیا، بتاؤ کیا امریکہ میں کبھی ایسا ہوا؟,پاکستان میں چیف جسٹس کو ایسا معطل کیا گیا کہ عوامی سپورٹ ہونے کے باوجود وہ ابھی تک بحال نہیں ہو سکا، کیا امریکہ میں ایسا ہوا؟,پاکستان میں جعلی ڈگری ہولڈر کو وزیرصحت بنایا گیا، کیا امریکہ میں ایسا ہوا؟,یہ سن کر امریکی بیچارہ ہنس ہنس کر ادھ موا ہو گیا اور ساتھ ہی اپنی ہار بھی مان گیا۔,,,,,,,,,,
urd-WL-83-174268-11364090-post9,1517,10,برصغیر پاک و ہند میں ہم نے اسلام تو صدیوں پہلے قبول کر لیا مگر اس جاہلانہ سوچ سے پیچھا آج تک نہ چھڑا سکے اور رسم و رواج کو اسلام سے مقدم ہی جانا۔,مرد کی دوسری شادی کو واہیات، طلاق کو کلنک کا ٹیکا، طلاق یافتہ عورت کو اچھوت، پسند کی شادی کو عزت پر داغ اور مرد کی اپنے سے بڑی عمر کی عورت سے شادی کو اس عورت کی مکاری کا نتیجہ سمجھنا اسی سوچ کی وجہ سے ہی ہے۔,اور تو اور مغربی اقوام کی نقل میں ہم پرہیزگاری اور پردے کو دقیانوسی قرار دیتے ہیں۔,اسلام قبول کرنا تو آسان تھا اس سوچ سے پیچھا چھڑانا بہت مشکل۔,اللہ ھم سب کو اس کی ہمت اور جراٰت عطا فرماےء۔,آمین۔,اردو لکھنا اتنا کٹھن تو کبھی نہ تھا۔,صدیاں بیت گیںٰ اتنا سا لکھتے لکھتے۔,تھوڑے کو بہت جانیے۔,اللہ حافظ۔,,,,,,,,,,
BBC_URD_20090125.0020,303,10,جماعت الدعوۃ کے لیے ایڈمنسٹریٹر,جماعت الدعوۃ کا ہیڈاکواٹر مرکز طیبہ لاہور سے تقریباً پچیس کلو میٹر دور مرید کے میں ہے۔,اس مرکز میں ہسپتال ، سکول اور طلباء کے ہاسٹل بھی شامل ہیں۔,وزیر قانون پنجاب رانا ثناء اللہ خان کا کہنا ہے کہ جماعت الدعوۃ کے مرکز میں نگران کی تعیناتی اس لیے عمل میں لائی گئی ہے تاکہ وہاں موجود فلاحی اداروں کا کام متاثر نہ ہو۔,جماعت الدعوۃ کے امیر حافظ سعید کے داماد خالد ولید کے مطابق مرکز میں واقع ہسپتال ، سکول اور دیگر فلاحی اداروں کی نگرانی کے لیے ایک اعلٰی سرکاری افسر خاقان بابر کو ایڈمنسٹریٹر مقرر کیا گیا ہے جبکہ ان کے بقول مرکز میں پولیس کی نفری میں بھی اضافہ کیا گیا ہے۔,اقوام متحدہ کی سلامتی کونسل نے جماعت الدعوۃ پر پابندی عائد کی ہے جس کے بعد پاکستان کی وفاقی حکومت نے ملک بھر میں جماعتالدعوۃ کے خلاف کارروائی کی اور جماعت کے امیر حافظ سعید سمیت دیگر رہنماؤں کو نظر بند کردیا گیا ہے۔ حکومت پنجاب کی طرف سے مرکز طیبہ میں ایڈمنسٹر مقرر کرنا بھی وفاقی حکومت کی جانب سے جماعت الدعوہ کے خلاف کی جانے والی کارروائی کا تسلسل ہے۔,خاقان بابر کا تعلق ڈی ایم جی یعنی ڈسٹرکٹ مینجمنٹ گروپ سے ہے۔,حافظ خالد ولید نے بتایا کہ کمشنر لاہور ڈویژن خسرو پرویز خان اتوار کو پولیس اور سول انتظامیہ کے ہمراہ مرکز طبیہ میں آئے اور مرکز کے مختلف حصوں کا معائنہ کیا۔ خالد ولید نے حکومت کی طرف سے جماعت الدعوۃ کے مرکز میں ایڈمنسٹریٹر مقرر کرنے کی مذمت کی ہے اور کہا کہ پہلے ہی حکومتی کارروائیوں کی وجہ سے مرکز میں واقع ہسپتال میں مریضوں اور سکول میں بچوں کی تعداد میں کمی ہوئی ہے۔,ادھر جماعت الدعوۃ کی ایک پریس ریلیز کے مطابق جماعت کے امیر حافظ سعید نے اقوام متحدہ کے جنرل سیکرٹری بان کی مون اور کمیٹی برائے طالبان کے نام ایک خط لکھا ہے جس میں ان سے سلامتی کونسل کی طرف سے جماعت پر عائد کی جانے والی پابندی ختم کرنے کی اپیل کی گئی ہے۔,خط میں یہ کہا گیا کہ سلامتی کونسل کی طرف سے جماعت الدعوۃ پر پابندی کا یکطرفہ فیصلہ ناانصافی ہے اور جماعت الدعوۃ کا دہشت گردی سے کوئی تعلق نہیں بلکہ یہ رفاہی کاموں میں مصروف ہے۔,,,,,,,,,,
VOA_URD_20090103.0018,578,10,اسرائیلی حملے میں حماس کا سینئیر کمانڈر ہلاک ہوگیا,اسرائیل کے ایک فضائى حملے میں حماس کا ایک سینئیر کمانڈر ہلاک ہوگیا۔,یہ غزہ کی پٹی میں اسرائیل کے ایک ہفتے سے جاری حملوں میں حماس کی دوسری اہم شخصیت کی ہلاکت ہے۔,حماس کے عہدے داروں نے کہا ہے کہ ابو زکریا الجمال ہفتے کے روز غزہ سٹی کے مشرق میں واقع الشجاعیہ محلے میں ہلاک ہوگئے۔,اسرائیل کے ایک اور فضائى حملے میں جمعرات کے روز حماس کے عالم نزار راعیّان ہلاک ہو گئے تھے۔,شام میں مقیم حماس کے جلا وطن لیڈر خالد مشعل انتقام لینے کا عزم ظاہر کیا ہے اور غزہ پر زمینی حملے کے خلاف اسرائیل کو خبردار کیا ہے۔,غزہ کی سرحد پر اسرائیل کے ہزاروں فوجی اور ٹینک تعینات ہیں اور وہ فوج کشی کے احکامات کا انتظار کررہے ہیں۔,امریکہ نے فائر بندی کی اپیل کی ہے۔ لیکن کہا ہے کہ غزہ پر فوج کشی کرنے یا نہ کرنے کے فیصلے کا انحصار اسرائیل پر ہے۔,امریکی صدر جارج بُش نے ریڈیو پر اپنی ہفتہ وار تقریر میں حماس پر تشدد بھڑکانے کے لیے اشتعال انگیزی کا الزام عائد کیا اور اسرائیل پر اُس کے راکٹوں کے حملوں کو دہشت گردی قرار دیا۔,انہوں نے کہا ہے کہ امریکہ فائر بندی کے لیے کام کررہا ہے، لیکن کوئى یک طرفہ سمجھوتا قابلِ قبول نہیں ہوگا۔,,,,,,,,,,
urd-NG-102-174502-11516154-post1,1055,10,ہندوستان نے ممبئی حملوں کے بعد کہا کہ ان حملوں کے پیچھے پاکستان کے بعض شدت پسند عناصر کا ہاتھ ہے۔,پاکستان نے ان الزامات کی تردید کی اور کہا کہ وہ تفتیش میں ہندوستان کی ہر ممکن مدد کرے گا۔,ہندوستان نے کہا کہ اس نے پاکستان کو ایک فہرست دی ہے جس میں ان بیس مشتبہ شدت پسندوں کے نام دیئے ہیں، جو ہندوستان کو مطلوب ہیں۔,اب پاکستان نے کہا ہے کہ اس فہرست میں شامل جیشِ محمد کے سربراہ مولانا مسعود اظہر نظربند نہیں ہیں اور ان کے بارے میں حکومت پاکستان کو کوئی معلومات نہیں ہے۔,اس سے پہلے پاکستان کے صدر آصف علی زرداری نے اس تاثر کو مسترد کیا کہ مغربی خفیہ اداروں اور بھارتی حکومت نے پاکستان کو ممبئی حملوں سے متعلق شواہد فراہم کیے ہیں۔,صدر زردرای نے اجمل قصاب کے بارے میں کہا کہ یہ ابھی ثابت نہیں ہوا کہ وہ پاکستانی ہیں۔,اسی دوران وزیراعظم منموہن سنگھ نے پاکستان کو خبردار کیا ہے کہ اس کے ساتھ بھارت کے تعلقات تب تک بہتر نہیں ہوسکتے جب تک وہاں کی سر زمین کو دہشت گردی کے لیے استعمال کیا جاتا رہے گا۔,اور تازہ ترین پیش رفت میں انڈیا کر کرکٹ ٹیم نے پاکستان کا دورہ منسوخ کر دیا ہے۔,کیا ان سیاسی واقعات کا کھیلوں پر اثر پڑنا چاہیے؟,آپ پاکستان اور ہندستان کے تعلقات کا مستقبل کیا دیکھتےہیں؟,,,,,,,,,,
urd-NG-102-174502-11516107-post1,815,10,غزہ پر اسرائیلی حملوں کا تیسرا ہفتہ جاری ہے اور ہلاکتوں کی تعداد ایک ہزار کے قریب پہنچ گئی ہے۔,عالمی سفارتی کوششوں کے باوجود تاحال جنگ بندی نہیں ہو سکی ہے,اورایک اندازے کے مطابق ستائیس دسمبر سے شروع ہونے والے حملوں کے بعد سے اب تک نوے ہزار فلسطینی اپنا گھر بار چھوڑ کر محفوظ علاقوں کی جانب منتقل ہو چکے ہیں۔,ادھر امدادی اداروں نےاسرائیل فلسطینی بچوں کی حفاظت کے معاملے سے لاپرواہی برتنے کا الزام لگاتے ہوئے کہا ہے کہ فلسطینی بچوں کی ایک پوری نسل سنگین نفسیاتی اور جذباتی مشکلات کا شکار ہوگی۔,آپ کیا کہتے ہیں۔,کیا ہونا چاہیے؟,غزہ میں پائیدار امن کس طرح ممکن ہے؟,تفصیلات کے لیے یہاں کلک کریں,(ازراہِ کرم نوٹ فرمائیں کہ تبصروں کی تعداد بڑھ جانے کے سبب صرف اردو میں ٹائپ کی جانے والی آراء شائع کی جائیں گی۔,اس کے لیے آن سکرین کی بورڈ پر alt+shift دبا کر اردو سلیکٹ کریں),,,,,,,,,,
urd-WL-72-174253-11359766-post1,1297,10,کہتے ہیں کہ مرے ہوئے کو برا مت کہو مگر کیا کریں ہمیں بینظیر کی پہلی برسی پر بھِی ان میں برائیاں ہی نظر آتی ہیں۔,بینظیر نے اپنے مفاد کی خاطر آزادی کی جنگ لڑنے والے سکھوں کی لسٹ بھارت کو مہیا کر کے ایک طرف سکھوں کی تحریک آزادی کو کچل دیا اور دوسری طرف بھارت کو پنجاب کی تحریک دبانے کے بعد کشمیر میں پوری توجہ مرکوز کرنے کا موقع فراہم کیا۔,بینطیر اور نواز شریف کی اقتدار کی رشہ کشی تاریخ کا حصہ ہے جس نے ملک کو کئِ سال پیچھے کی طرف دھکیل دیا۔,بینظیر نے جلاوطنی کے دوران کشمیر اور ایٹمی پروگرام پر منفی بیانات کا سلسلہ جاری رکھا۔,بینظیر نے نواز شریف کیساتھ لندن معاہدے کی خلاف ورزی کرتے ہوئے جنرل مشرف کیساتھ ڈیل کر لی۔,بینظیر نے اپنے دور اقتدار میں اپنے خاوند کو کھل کر پیسہ کمانے کا موقع دیا اور اسی وجہ سے وہ مسٹر ٹین پرسینٹ کہلائے,بینظیر کے دور میں اس کا بھائی قتل ہوا اور جس کے قاتل ابھِی تک سزا سے بچے ہوئے ہیں۔,بینظیر نے عورت ہونے کے باوجود عورتوں کے حقوق کی جنگ لڑنے سے گریز کیا۔,جس طرح بینظیر نے اپنے والد کی لاش پر سیاست کی اسی طرح اب ان کے رنڈوے خاوند ان کی لاش پر سیاست کر رہے ہیں۔,بینظیر کو دو دفعہ حکومت ملی مگر وہ اپنے والد کے سیاسی قتل کے مجرموں کو سزا تو کیا ان کیخلاف مقدمہ بھی درج نہ کرا سکیں۔,,,,,,,,,,
urd-NG-102-174502-11516161-post53,1131,10,سلام۔ کریں جناب شوق سے کريں مگر اپنے بل بوتے پر يہ کارروائی کريں۔,امريکہ کے پريشر ميں آکر نہ کريں۔,اگر بھارت کو تکليف ہے تو ثبوت فراہم کرے ناں؟,کيوں نہيں ديتا وہ؟,اور ہر بات کا الزام ہم پر کيوں ڈال ديتا ہے؟,بھارت ميں بھی تو انتہا پسند گروہ اور تنظيميں ہيں، ان پر کيوں نہيں لگاتے پابندی يہ لوگ؟,کيا ہم ہی ہیں ساری دنيا ميں ایک دہشت گرد؟,بھارت جو کشمير ميں کر رہا ہے وہ کيا ہے؟,اسرائیل جو کر رہا ہے وہ کيا ہے؟,سچ تو يہ ہے کہ ہم دنيا کی پہلی ايٹمی اسلامی رياست ہيں، کيوں ہيں يہی جھگڑا ہے۔,,,,,,,,,,
VOA_URD_20090122.0013,665,10,صدر اوباما نے پاکستان اور افغانستان کے لیے خصوصی نمائندہ مقرر کر لیا,رچرڈ ہال بروک اقوامِ متحدہ کے لیے سابق سفیررچرڈ ہال بروک کو پاکستان اور افغانستان کے لیے نمائندہٴ خصوصی مقرر کیا گیا ہے۔,ہال بروک نے بوسنیا ہرزگوینا میں امن معاہدے کروانے میں اہم کردار ادا کیا تھا۔,ہال بروک نے کہا کہ وہ افغانستان اور پاکستان کے امور پر صدر اوباما کی مشاورت کے لیے تیار ہیں۔,انھوں نے اضافہ کیا کہ یہ کام آسان نہیں ہے۔,انھوں نے کہا کہ دونوں ممالک کی تاریخ انتہائی مختلف ہے۔,مشرقِ وسطیٰ کے لیے جارج مچل کو منتخب کیا گیا ہے جو عرب اسرائیل امن مذاکرات میں جان ڈالنے کی کوشش کریں گے۔,مچل سابق سینیٹر ہیں اور انھوں نے شمالی آئرلینڈ میں امن قائم کروانے میں کردار ادا کیا تھا۔,آج سٹیٹ ڈیپارٹمنٹ میں بات چیت کرتے ہوئے مچل نے کہا کہ مشرقِ وسطیٰ کی صورتِ حال بہت ناپائیدار، پیچیدہ اور خطرناک ہے۔,لیکن اس کے باوجود امریکہ وہاں قیامِ امن کی کوششوں سے پیچھے نہیں ہٹے گا۔,,,,,,,,,,
MHR_URD_20090112.0002,509,10,باراک اوبامہ امریکہ ایران کے ساتھ نئی حکمت عملی اپنائے گا,مہر خبررساں ایجنسی کی رپورٹ کے مطابق امریکہ کے منتخب صدر باراک اوبامہ نے اے بی سی نیوز چینل کے ساتھ گفتگو کرتے ہوئے کہا ہے کہ وہ ایران کے مسئلے پر نئی اور جدید حکمتِ عملی اپنائیں گے۔,باراک اوباما نے کہا کہ &quot; ایران امریکی حکومت کے لئے ایک بہت بڑا چیلنجز ہوگا&quot;۔,باراک اوبامہ نے کہا کہ اسےفلسطینی اسلامی تنظیم حماس و حزب اللہ کی ایرانی حمایت اور ایران کے جوہری افژودگی کے پروگرام پر تشویش ہے۔,لیکن وہ ایران کے بارے میں موجودہ امریکی صدر بش کی پالیسی جاری نہیں رکھیں گے اور ایران سے تعلقات کے سلسلے میں مختلف پالیسی اپنائیں گے۔,باراک اوبامہ نے کہا کہ وہ اپنے اصل مقصد کو مکمل طور پر واضح کرتے ہوئے باہمی احترام اور بات چیت کی خواہش پر زور دیں گے۔,باراک اوبامہ ماضی میں بھی کہہ چکے ہیں کہ ایران سے بات چیت کے سلسلے میں پہلے سے کوئی شرائط عائد نہیں کی جانی چاہیئیں۔,انٹرویو کے دوران انہوں نے امید ظاہر کی کہ ان کی انتظامیہ ایران کے حوالے سے اس نئی حکمتِ عملی پر’تیزی سے عمل پیرا ہوگی۔,اوبامہ نے مشرق وسطی کے بحران کے بارے میں کہا کہ وہ اس سلسلے میں ایک خصوصی ٹیم تشکیل دے رہے ہیں,جومشرقِ وسطٰی میں قیام امن کی کوششوں کے لیے 20 جنوری کے بعد کام شروع کردےگی۔,,,,,,,,,,
urd-WL-86-174276-11370252-post1,1654,10,بھارتی وزیراعظم من موہن سنگھ نے ایک مرتبہ پھر الزام عائدکیا ہے کہ پاکستان جنگ کے ماحول کو ہوا دے رہا ہے,اور پاکستان دہشت گردی کو ریاستی پالیسی کے طور پر استعمال کرتا ہے۔,نئی دہلی میں وزرائے اعلیٰ کانفرنس سے خطاب کرتے ہوئے من موہن سنگھ کا کہنا تھا کہ دہشت گردعناصرکی ہمسایہ ممالک خصوصاً پاکستان سے پشت پناہی کی جاتی ہے,اور ممبئی حملوں کے دہشت گردوں نے بحری راستہ اختیار کیا اور بھارتی کوسٹ گارڈ ز سے محفوظ رہے۔,بھارتی وزیراعظم نے کہا کہ نومبر میں ممبئی حملے لشکر طیبہ نے کیے۔,انہوں نے مزید کہا کہ دہشت گرد نئی تکنیک اور جدید ترین مواصلاتی نظام استعمال کررہے ہیں،ہمیں لائن آف کنٹرول پر بھی سختی بڑھانا ہوگی جہاں سے دراندازی ہوتی ہے ان کا کہنا تھا کہ دہشت گردی کسی صورت برداشت نہیں کی جائے گی اور یہی ہماری پالیسی ہے۔,بھارتی وزیر اعظم کے اس الزام کو آپ کس طرح دیکھتے ہیں؟,کیابھارت کا اندرونی خلفشار اورعلیحدگی پسند تحریکیں بھارتی اضطراب کا مظہر تونہیں ہے؟,بھارت کس کے اشاروں پر دھمکی آمیز رویہ اختیار کئے ہوئے ہے؟,اپنی رائے سے آگاہ کریں۔,,,,,,,,,,
